breadcrumbs,image_url,brand,product_name,listing_price,offer_price,discount,product_id,sizes,description,other_images
"Men,Brunello Cucinelli,Shoes,Boots,Hiking boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503.jpg,Brunello Cucinelli,Leather ankle boots,"€ 1,055",,,P00735503,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","Crafted in Italy from leather, these ankle boots balance sophistication and practicality. They have lug soles that provide plenty of grip on rougher terrain.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with extra laces, comes with dust bags, comes with a box Designer colour name: Cognac+Bark True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/de/P00735503_d4.jpg"
"Men,Saint Laurent,Shoes,Boots,Ankle boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509.jpg,Saint Laurent,Wyatt Harness leather ankle boots,€ 825,,,P00763509,"EU_ 39,EU_ 39.5,EU_ 40,EU_ 40.5,EU_ 41,EU_ 41.5,EU_ 42,EU_ 42.5,EU_ 43,EU_ 43.5,EU_ 44,EU_ 44.5,EU_ 45,EU_ 46,EU_ 47","The Wyatt Harness boots from Saint Laurent will add sheen to your look, thanks to their polished leather fabrication. The style is crafted with round pointed toes and has stacked leather heels and silver-toned hardware.upper: leather lining: leather sole: leather insole, leather and rubber sole almond toe zipped side Made in Italy comes with dust bags comes with a box Designer colour name: Nero","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/17/P00763509_d4.jpg"
"Men,Loro Piana,Shoes,Boots,Lace up boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477.jpg,Loro Piana,Laax Walk leather-trimmed boots,"€ 1,219",,,P00670477,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46,EU_ 47","The Laax Walk ankle boots from Loro Piana resemble classic outdoor footwear. Set atop a rubber sole, the lace-up style has black leather trims and ribbed-knit ankle padding.upper: fabric lining: leather trim: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with a box comes with dust bags Designer colour name: Caviar True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/11/P00670477_d4.jpg"
"Men,Kenzo,Shoes,Boots,Chelsea boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335.jpg,Kenzo,Kenzosmile leather Chelsea boots,€ 549,,,P00675335,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45","The Kenzosmile boots are part of a Kenzo collection inspired by traditional workwear garments. Made from polished leather, these ankle boots have metallic toe caps with logo inscriptions, “Paris” pull tabs and elasticated side panels.upper: calf leather, fabric lining: leather, fabric sole: leather insole, rubber sole elasticated sides Made in Portugal comes with dust bag , comes with a box Designer colour name: Black True to size Half sizes please take the next size up European sizes 4,5cm-2"" heel (size EU 42)  ","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00675335_d4.jpg"
"Men,Alexander McQueen,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724.jpg,Alexander McQueen,Sprint leather sneakers,€ 549,,,P00745724,"EU_ 40,EU_ 40.5,EU_ 41,EU_ 41.5,EU_ 42,EU_ 42.5,EU_ 43,EU_ 43.5,EU_ 44,EU_ 45","Fit to conquer any terrain, Alexander McQueen's Sprint sneakers sit on wide, chunky runner soles that run up the heels. They're made from leather, suede, and mesh panels with an appliqued Seal logo on the side.upper: leather, fabric lining: leather sole: leather insole and sole round toe lace-up Made in Italy comes with extra laces, comes with a box Designer colour name: Wh/I.B/C./L.R/S/B./V True to size European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/39/P00745724_d4.jpg"
"Men,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491.jpg,Brunello Cucinelli,Wool knit sneakers,€ 695,,,P00735491,"EU_ 39,EU_ 39.5,EU_ 40,EU_ 41,EU_ 42,EU_ 42.5,EU_ 43,EU_ 44,EU_ 45,EU_ 46","These Brunello Cucinelli sneakers are lightweight and flexible. They're made with wool jacquard uppers and have suede trims.upper: leather, fabric lining: leather, fabric sole: leather insole, rubber sole round toe lace-up Made in Italy comes with dust bag , comes with a box Designer colour name: Camel+8051 True to size European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/0d/P00735491_d4.jpg"
"Men,Gucci,Shoes,Formal shoes,Loafers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465.jpg,Gucci,Horsebit jacquard loafer,€ 585,,,P00737465,"UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46,UK_ 13,EU 47","One of Gucci's most powerful emblems, the Horsebit points to the house's storied fascination with equestrian design codes. These classic loafers feature a black Horsebit jacquard pattern and gold-tone hardware.upper: fabric lining: leather sole: leather insole and sole round toe Made in Italy comes with a box comes with dust bags Designer colour name: Black/Bla/Bla/Bla True to size Half sizes please take the next size down UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9a/P00737465_d4.jpg"
"Men,Saint Laurent,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512.jpg,Saint Laurent,Andy low-top sneakers,€ 419,,,P00763512,"EU_ 39,EU_ 39.5,EU_ 40,EU_ 40.5,EU_ 41,EU_ 41.5,EU_ 42,EU_ 42.5,EU_ 43,EU_ 43.5,EU_ 44,EU_ 44.5,EU_ 45,EU_ 45.5,EU_ 46,EU_ 46.5,EU_ 47,EU_ 48","Saint Laurent's classic low-top Andy sneakers are crafted from smooth leather and feature a round toe and the label's logo is debossed in gold print at the side.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with a box comes with dust bags Designer colour name: Blanc Optique Fits slightly small to size - we recommend trying a half size larger European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/9e/P00763512_d4.jpg"
"Men,Gucci,Shoes,Boots,Ankle boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349.jpg,Gucci,Embellished leather knee-high boots,"€ 1,505",,,P00737349,"UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45",These knee-high boots from Gucci are accented with gold-tone branded buttons and lace-up detailing on the front. The style is made from black leather and has a practical heel loop.upper: leather lining: leather sole: leather insole and sole round toe lace-up Made in Italy comes with a box comes with dust bags Designer colour name: Black True to size Half sizes please take the next size up UK sizes,"//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_d4.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/cd/P00737349_d5.jpg"
"Men,Christian Louboutin,Shoes,Slippers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994.jpg,Christian Louboutin,Navy Coolito embroidered slippers,€ 669,,,P00680994,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","Made from soft velvet and embroidered with the label's logo, Christian Louboutin's Navy Coolito slippers have almond toes and leather insoles.upper: calf leather lining: calf leather sole: leather insole, signature red leather sole almond toe Made in Italy comes with a box comes with dust bag  Designer colour name: Black True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/ce/P00680994_d4.jpg"
"Men,Alexander McQueen,Shoes,Boots,Lace up boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434.jpg,Alexander McQueen,Thread Slick canvas ankle boots,€ 549,,,P00729434,"EU_ 39,EU_ 40,EU_ 41,EU_ 41.5,EU_ 42,EU_ 43,EU_ 44,EU_ 44.5,EU_ 45,EU_ 46","With oversized rubber soles, these high-top Alexander McQueen sneakers have a lace-up design, a debossed rubber logo on the sides and branding on the pull-tabs.upper: fabric lining: leather sole: fabric insole, rubber sole round toe Made in Italy comes with extra laces comes with dust bag  comes with a box Designer colour name: Black True to size European sizes 5,0cm-2"" heel (size EU 42)  ","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/51/P00729434_d4.jpg"
"Men,Loro Piana,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018.jpg,Loro Piana,Weekend Walk suede-trimmed sneakers,€ 565,,,P00642018,"EU_ 39,EU_ 40,EU_ 40.5,EU_ 41,EU_ 41.5,EU_ 42,EU_ 42.5,EU_ 43,EU_ 43.5,EU_ 44,EU_ 44.5,EU_ 45,EU_ 46,EU_ 47","Loro Piana's Weekend Walk sneakers are made from a durable technical fabric with suede trims. Securing with lace-up fronts, they're set on rubber soles.upper: fabric lining: fabric trim: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with dust bag  comes with a box Designer colour name: Blue Navy True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00642018_d4.jpg"
"Men,Frescobol Carioca,Shoes,Espadrilles",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508.jpg,Frescobol Carioca,Veluso suede espadrilles,€ 159,,,P00760508,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","Featuring soft suede uppers, Frescobol Carioca's Veluso espadrilles are set on classic woven jute soles.upper: leather lining: leather sole: leather insole, rubber sole round toe Made in Italy comes with a box Designer colour name: Dark Oat True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/66/P00760508_d4.jpg"
"Men,Moncler,Shoes,Boots,Lace up boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238.jpg,Moncler,Vancouver tricolored-sole leather boots,€ 459,,,P00709238,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","These black leather ankle boots from Moncler feature a lace-up design with red, white, and blue striped rubber soles, ideal for snow weather conditions.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with dust bags comes with a box Designer colour name: Black True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/89/P00709238_d4.jpg"
"Men,Our Legacy,Shoes,Boots,Chelsea boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033.jpg,Our Legacy,Pinch leather boots,€ 405,,,P00706033,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","The Pinch boots showcase Our Legacy’s twist on tradition. Made from leather, this style has narrow ""pinched"" toes, stitching to the vamps, Vibram® Westerner outsoles, and Cuban heels.upper: leather lining: leather sole: leather insole, rubber sole pointed toe elasticated sides Made in Portugal comes with a box comes with dust bags Designer colour name: Black Leather True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/aa/P00706033_d4.jpg"
"Men,Acne Studios,Shoes,Sneakers,High-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254.jpg,Acne Studios,High-top leather sneakers,€ 465,,,P00707254,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","Made from leather with ripstop canvas trims, these high-top sneakers from Acne Studios have a basketball shoe-inspired silhouette. The all-black pair is set on logo platform soles.upper: leather, fabric lining: fabric sole: fabric insole, rubber sole almond toe lace-up Made in Italy comes with a box comes with dust bag  Designer colour name: Multi Anthracite True to size Half sizes please take the next size up European sizes 5,5cm-2"" heel (size EU 42)  ","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/8d/P00707254_d4.jpg"
"Men,The Row,Shoes,Slippers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284.jpg,The Row,Knit slippers,€ 919,,,P00681284,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","Made in Italy from a soft, charcoal grey knit, these slippers from The Row are set on low rubber soles and feature an elasticated element on the back for easy fit.upper: fabric lining: fabric sole: leather insole, rubber sole elasticated strap Made in Italy comes with dust bag  comes with a box Designer colour name: Grey True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/2a/P00681284_d4.jpg"
"Men,Gucci,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466.jpg,Gucci,Screener leather sneakers,€ 649,,,P00737466,"UK_ 5,EU 39,UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46,UK_ 13,EU 47","Gucci's Screener leather sneakers pay homage to classic sportswear, and feature the brand's signature Web stripe at the side. They’re accented with perforated paneling and iconic detailing at the fronts, tongues, and heel tabs.upper: leather sole: rubber insole and sole lace-up Made in Italy comes with extra laces, comes with dust bag , comes with a box Designer colour name: Bla/Wh/Vrv/M.Wh/Bl True to size Half sizes please take the next size down UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/14/P00737466_d4.jpg"
"Men,Bode,Shoes,Loafers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904.jpg,Bode,Suede loafers,€ 795,,,P00735904,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45","These slip-on loafers from Bode are inspired by the traditional house shoe but designed to be worn outdoors. Made in Italy from brushed suede, they feature leather piped trims and rest on low-stacked heels.upper: leather lining: leather sole: leather insole and sole almond toe Made in Italy Designer colour name: Brown True to size Half sizes please take the next size down European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/63/P00735904_d4.jpg"
"Men,Gucci,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362.jpg,Gucci,GG-embossed leather sneakers,€ 585,,,P00737362,"UK_ 5,EU 39,UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46,UK_ 13,EU 47","These Gucci sneakers are expertly crafted from contrast leather paneling featuring GG-embossing, an interlocking G print, perforated detailing, and lace-up fronts. Thick rubber soles complete the stylish silhouette.upper: leather sole: rubber insole and sole lace-up Made in Italy comes with extra laces, comes with dust bag , comes with a box Designer colour name: Bl/G.W/G.W.T/G.W.T/B True to size Half sizes please take the next size down UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b6/P00737362_d4.jpg"
"Men,Ami Paris,Shoes,Loafers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854.jpg,Ami Paris,Brushed leather penny loafers,€ 355,,,P00680854,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45","These penny loafers from Ami Paris are a menswear staple. Crafted from shiny brushed leather, they have a classic silhouette with a low heel.upper: leather lining: leather sole: leather insole, leather and rubber sole square toe Made in Portugal comes with dust bags comes with a box Designer colour name: Black","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/79/P00680854_d4.jpg"
"Men,Loro Piana,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712.jpg,Loro Piana,Weekend Walk leather-trimmed sneakers,€ 609,,,P00760712,"EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46","The Weekend Walk sneakers from Loro Piana are expertly crafted from a technical knit offering a sleek, yet sporty silhouette. The uppers feature comfortable nappa leather trims, while the ultra-lightweight rubber soles are lightly ridged.upper: leather, fabric lining: leather, fabric sole: fabric insole, rubber sole almond toe lace-up Made in Italy comes with a box comes with dust bags Designer colour name: Gray Frost extra soles True to size Half sizes please take the next size down European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/25/P00760712_d4.jpg"
"Men,Jil Sander,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654.jpg,Jil Sander,Leather sneakers,€ 419,,,P00682654,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45","These white leather sneakers from Jil Sander are crafted with a minimalist attitude. The lace-up style is set on rubber soles.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Portugal comes with dust bag  comes with a box Designer colour name: Ivory True to size Half sizes please take the next size up European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/c2/P00682654_d4.jpg"
