breadcrumbs,image_url,brand,product_name,listing_price,offer_price,discount,product_id,sizes,description,other_images
"Men,Zegna,Shoes,Espadrilles",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670.jpg,Zegna,Valencia suede espadrilles,€ 465,,,P00609670,"UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46,UK_ 13,EU 47","Ermenegildo Zegna's Valencia espadrilles are made from soft suede and set on classic woven jute soles.upper: calf leather lining: leather trim: jute sole: leather insole, rubber sole round toe Made in Portugal comes with dust bags comes with a box Designer colour name: Md Grn Sld  Fits small to size - we recommend trying one size larger UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/f4/P00609670_d4.jpg"
"Men,Berluti,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021.jpg,Berluti,Playtime leather sneakers,"€ 1,345",,,P00643021,"UK_ 5,EU 39,UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46","Made in Italy, these sleek sneakers from Berluti are crafted in burnished leather, feature lace-up fronts, and rest on vulcanized rubber soles.upper: calf leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy comes with dust bag  comes with a box Designer colour name: Cacao Intenso  True to size Half sizes please take the next size down UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/20/P00643021_d4.jpg"
"Men,Versace,Shoes,Loafers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505.jpg,Versace,Medusa Chain leather loafers,€ 665,,,P00680505,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46,EU_ 47","These loafers from Versace are adorned with Medusa Chain hardware. Made in Italy from brushed leather, they have soft heel counters that can be folded down so that they can be worn as slippers.upper: calf leather lining: leather sole: leather insole and sole round toe Made in Italy comes with dust bag  comes with a box Designer colour name: Nero-Oro Versace Fits large to size - we recommend trying one size smaller European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/bf/P00680505_d4.jpg"
"Men,Berluti,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022.jpg,Berluti,Fast Track suede and nylon sneakers,"€ 1,180",,,P00643022,"UK_ 5,EU 39,UK_ 6,EU 40,UK_ 7,EU 41,UK_ 8,EU 42,UK_ 9,EU 43,UK_ 10,EU 44,UK_ 11,EU 45,UK_ 12,EU 46","Green suede uppers lasered with the brand's Scritto motif define this iteration of Berluti's Fast Track sneakers. These sneakers are lined in nylon mesh and their padded heel counters and rubber soles provide enhanced comfort.upper: calf leather lining: fabric trim: fabric sole: fabric insole, rubber sole round toe lace-up Made in Italy comes with extra laces comes with dust bag  comes with a box Designer colour name: Green True to size Half sizes please take the next size down UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/85/P00643022_d4.jpg"
"Men,Golden Goose,Shoes,Sneakers,Designer sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110.jpg,Golden Goose,Distressed Superstar sneakers,€ 335,,,P00454110,"EU_ 39,EU_ 40,EU_ 41,EU_ 42,EU_ 43,EU_ 44,EU_ 45,EU_ 46,EU_ 47","Finished with a distressed look, these white low-top sneakers from Golden Goose are made in Italy from leather and feature printed laces, a logo-print heel counter and a leather gold star on the side.upper: leather lining: leather sole: leather insole, rubber sole round toe lace-up Made in Italy Designer colour name: White Gold  True to size Half sizes please take the next size down European sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/09/P00454110_d3.jpg"
"Men,Salomon,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568.jpg,Salomon,ACS Pro Advanced sneaker,€ 165,,,P00703568,"UK_ 6.5,EU 40,UK_ 7,EU 40 2,3,UK_ 7.5,EU 41 1,3,UK_ 8,EU 42,UK_ 8.5,EU 42 2,3,UK_ 9,EU 43 1,3,UK_ 9.5,EU 44,UK_ 10,EU 44 2,3,UK_ 10.5,EU 45 1,3,UK_ 11,EU 46,UK_ 11.5,EU 46 2,3,UK_ 12,EU 47 1,3,UK_ 12.5,EU 48","Offering a refreshed take on a legendary model from the brand's archive, Salomon's ACS Pro Advanced sneaker offers a slim, technical mesh silhouette and Contagrip® outsoles - designed for optimum traction on any terrain.upper: fabric, rubber lining: fabric sole: fabric insole, rubber sole round toe lace-up Made in China comes with a box Designer colour name: White/Vanilla Ice/Lunar Rock True to size UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/57/P00703568_d4.jpg"
"Men,Tom Ford,Shoes,Boots,Ankle boots",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772.jpg,Tom Ford,Elkan leather boots,"€ 1,200",,,P00506772,"UK_ 6,EU 39,UK_ 7,EU 40,UK_ 8,EU 41,UK_ 9,EU 42,UK_ 10,EU 43,UK_ 11,EU 44,UK_ 12,EU 45,UK_ 13,EU 46","Crafted from smooth leather, these formal ankle boots from Tom Ford have a zipped fastening, and flat leather stacked heel in black.upper: calf leather lining: leather trim: brass sole: leather insole and sole round toe zipped side Made in Italy Designer colour name: Black True to size Half sizes please take the next size up UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/64/P00506772_d4.jpg"
"Men,New Balance,Shoes,Sneakers,Sports sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796.jpg,New Balance,550 leather sneakers,€ 109,,,P00662796,"US_ 7,EU 40,US_ 8,EU 41,5,US_ 8.5,EU 42,US_ 9,EU 42,5,US_ 9.5,EU 43,US_ 10,EU 44,US_ 10.5,EU 44,5,US_ 11,EU 45,US_ 12,EU 46,5,US_ 13,EU 47,5","The New Balance 550s are an upgraded version of a legacy design. Made with perforated leather uppers, mesh detailing, and elevated soles, these are court sneakers for a new era.upper: leather lining: fabric sole: fabric insole, rubber sole round toe lace-up Made in Vietnam comes with a box Designer colour name: Black/Sea Salt  True to size US sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/5d/P00662796_d4.jpg"
"Men,Salomon,Shoes,Sneakers,Sports sneakers",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855.jpg,Salomon,Quest 4D GTX ADV sneakers,€ 205,,,P00500855,"UK_ 6.5,EU 40,UK_ 7,EU 40 2,3,UK_ 7.5,EU 41 1,3,UK_ 8,EU 42,UK_ 8.5,EU 42 2,3,UK_ 9,EU 43 1,3,UK_ 9.5,EU 44,UK_ 10,EU 44 2,3,UK_ 10.5,EU 45 1,3,UK_ 11,EU 46,UK_ 11.5,EU 46 2,3,UK_ 12,EU 47 1,3,UK_ 12.5,EU 48","In a brown suede and fabric upper, these high-top sneakers from Salomon offer a secure fit and sturdy rubber soles for a cushioned land on tough terrains.upper: leather, fabric lining: fabric sole: fabric insole, rubber sole round toe lace-up Designer colour name: Kangaroo/ Kangaroo/ Chinchilla Fits slightly small to size - we recommend trying a half size larger UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/b9/P00500855_d4.jpg"
"Men,Salomon,Shoes,Sneakers,Low-Top",https://img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842.jpg,Salomon,ACS Pro Advanced sneaker,€ 169,€ 195,,P00646842,"UK_ 5,EU 38,UK_ 6.5,EU 40,UK_ 6,EU 39 1,3,UK_ 7,EU 40 2,3,UK_ 7.5,EU 41 1,3,UK_ 8,EU 42,UK_ 8.5,EU 42 2,3,UK_ 9,EU 43 1,3,UK_ 9.5,EU 44,UK_ 10,EU 44 2,3,UK_ 10.5,EU 45 1,3,UK_ 11,EU 46,UK_ 11.5,EU 46 2,3,UK_ 12,EU 47 1,3,UK_ 12.5,EU 48","Offering a refreshed take on a legendary model from the brand's archive, Salomon's ACS Pro Advanced sneaker offers a slim, technical mesh silhouette and Contagrip® outsoles - designed for optimum traction on any terrain.upper: fabric lining: fabric sole: fabric insole, rubber sole round toe Made in China comes with a box Designer colour name: Black/Black/Black True to size UK sizes","//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_b1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_b2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_d1.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_d2.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_d3.jpg,//img.mytheresa.com/1088/1088/66/jpeg/catalog/product/d5/P00646842_d4.jpg"
